story_id,url,published,player,team,status,date,date_type,quote,notes,verified,reject_reason
1219226,https://www.espncricinfo.com/story/kane-richardson-tests-negative-for-covid-19-1219226,2020-03-13T03:01:59+00:00,Kane Richardson,Australia,false_positive,2020-03-13,relative_to_published,Kane Richardson tested negative for COVID-19 after he was ruled out of the first ODI against New Zealand at the SCG having reported reporting a mild sore throat to Australia's medical team yesterday.,Isolated with sore throat; negative result came through Friday evening (13 Mar 2020).,True,
28894733,https://www.espncricinfo.com/story/_/id/28894733/kane-richardson-quarantined-reporting-sort-throat,2020-03-13T03:01:59+00:00,Kane Richardson,Australia,false_positive,2020-03-13,relative_to_published,Kane Richardson tested negative for COVID-19 after he was ruled out of the first ODI against New Zealand at the SCG having reported reporting a mild sore throat to Australia's medical team yesterday.,Isolated with sore throat; negative result came through Friday evening (13 Mar 2020).,True,
1219387,https://www.espncricinfo.com/story/i-just-had-very-very-mild-cold-lockie-ferguson-after-coronavirus-concerns-1219387,2020-03-15T07:02:09+00:00,Lockie Ferguson,New Zealand,false_positive,2020-03-14,relative_to_published,So when we got the negative test for the virus last night we just took it as we can and then it was nice to come home today.,"Isolated after sore throat; negative result 'last night' relative to Sunday 15 Mar arrival quote. Story 28904474 (same article) has only page script, no text.",True,
1219506,https://www.espncricinfo.com/story/alex-hales-confirms-covid-19-symptoms-yet-to-be-tested-1219506,2020-03-17T12:38:17+00:00,Alex Hales,Karachi Kings,false_positive,2020-03-17,published,"Raja's comments led to inaccurate speculation that Hales had tested positive for the virus, which he denied in a statement.","Self-isolating with symptoms, not yet tested; reported positive was denied. Not a confirmed negative test.",True,
28915255,"https://www.espncricinfo.com/story/_/id/28915255/alex-hales-confirms-covid-19-symptoms,-yet-tested",2020-03-17T12:38:17+00:00,Alex Hales,Karachi Kings,false_positive,2020-03-17,published,"Raja's comments led to inaccurate speculation that Hales had tested positive for the virus, which he denied in a statement.","Self-isolating with symptoms, not yet tested; reported positive was denied. Not a confirmed negative test.",True,
1225571,https://www.espncricinfo.com/story/mohammad-hafeez-says-he-s-negative-for-covid-19-day-after-pcb-announces-positive-result-1225571,2020-06-24T07:43:57+00:00,Mohammad Hafeez,Pakistan,false_positive,2020-06-23,relative_to_published,"Mohammad Hafeez has tested negative in a private test for Covid-19, a day after a test result carried out by a different lab under the PCB's testing protocol showed up as positive.",Disputed: PCB-lab positive announced Tuesday 2020-06-23; private test negative 2020-06-24; PCB did not accept the private result.,True,
29356815,https://www.espncricinfo.com/story/_/id/29356815/mohammad-hafeez-says-negative-covid-19-day-pcb-announces-positive-result,2020-06-24T07:43:57+00:00,Mohammad Hafeez,Pakistan,false_positive,2020-06-23,relative_to_published,"Mohammad Hafeez has tested negative in a private test for Covid-19, a day after a test result carried out by a different lab under the PCB's testing protocol showed up as positive.",Disputed: PCB-lab positive announced Tuesday 2020-06-23; private test negative 2020-06-24; PCB did not accept the private result.,True,
1225679,https://www.espncricinfo.com/story/jofra-archer-tests-negative-for-covid-19-1225679,2020-06-25T13:17:47+00:00,Jofra Archer,England,false_positive,2020-06-24,relative_to_published,Archer's journey was delayed after a member of his household began to feel unwell over the weekend.,Not a positive: household member unwell; Archer tested Wednesday as precaution and was negative.,True,
29363970,https://www.espncricinfo.com/story/_/id/29363970/jofra-archer-tests-negative-covid-19,2020-06-25T13:17:47+00:00,Jofra Archer,England,false_positive,2020-06-24,relative_to_published,Archer's journey was delayed after a member of his household began to feel unwell over the weekend.,Not a positive: household member unwell; Archer tested Wednesday as precaution and was negative.,True,
1226173,https://www.espncricinfo.com/story/sam-curran-tests-negative-for-covid-19-after-sickness-bout-1226173,2020-07-03T13:17:40+00:00,Sam Curran,England,false_positive,2020-07-02,relative_to_published,"Sam Curran has tested negative for Covid-19, after being forced to withdraw from England's intra-squad three-day warm-up match at the Ageas Bowl through illness.",Not a positive: tested Thursday lunch interval after sickness; negative.,True,
29404383,https://www.espncricinfo.com/story/_/id/29404383/sam-curran-tests-negative-covid-19-sickness-bout%5Cu003eSam,2020-07-03T13:17:40+00:00,Sam Curran,England,false_positive,2020-07-02,relative_to_published,"Sam Curran has tested negative for Covid-19, after being forced to withdraw from England's intra-squad three-day warm-up match at the Ageas Bowl through illness.",Not a positive: tested Thursday lunch interval after sickness; negative.,True,
29417329,"https://www.espncricinfo.com/story/_/id/29417329/from-86,000-zero-week-covid-19-changed-cricket",2020-07-06T16:50:58+00:00,Kane Richardson,Australia,false_positive,2020-03-13,test_date,"However, the moment which reinforces that things are escalating quickly is when Kane Richardson is tested for Covid-19 after reporting a slightly sore throat.",Not a positive: precautionary test on Friday 13 March 2020 came back negative.,True,
1227356,https://www.espncricinfo.com/story/jofra-archer-cleared-to-rejoin-england-squad-after-negative-covid-test-1227356,2020-07-21T09:07:52+00:00,Jofra Archer,England,false_positive,2020-07-21,published,"He underwent two Covid-19 tests in that period, both of which proved negative.",Not a positive or close contact: isolated five days after bubble breach; two negative tests.,True,
29507396,https://www.espncricinfo.com/story/_/id/29507396/jofra-archer-cleared-rejoin-england-squad-negative-covid-test,2020-07-21T09:07:52+00:00,Jofra Archer,England,false_positive,2020-07-21,published,"He underwent two Covid-19 tests in that period, both of which proved negative.",Not a positive or close contact: isolated five days after bubble breach; two negative tests.,True,
1227415,https://www.espncricinfo.com/story/jofra-archer-reveals-racist-abuse-on-social-media-during-isolation-1227415,2020-07-22T03:29:34+00:00,Jofra Archer,England,false_positive,2020-07-22,published,"Archer twice tested negative for Covid-19 during his five days in isolation and is eligible for selection for the final Test starting on Friday, but said he struggled to bowl in the nets when he was given dispensation to leave his room at the on-site hotel.",Not a positive or close contact: isolated after bubble breach; two negative tests.,True,
29514033,https://www.espncricinfo.com/story/_/id/29514033/jofra-archer-reveals-racist-abuse-social-media-isolation%5Cu003eracist,2020-07-22T03:29:34+00:00,Jofra Archer,England,false_positive,2020-07-22,published,"Archer twice tested negative for Covid-19 during his five days in isolation and is eligible for selection for the final Test starting on Friday, but said he struggled to bowl in the nets when he was given dispensation to leave his room at the on-site hotel.",Not a positive or close contact: isolated after bubble breach; two negative tests.,True,
1229449,https://www.espncricinfo.com/story/mohammad-hafeez-back-with-pakistan-squad-after-negative-covid-19-test-1229449,2020-08-13,Mohammad Hafeez,Pakistan,false_positive,2020-08-13,relative_to_published,"Hafeez was placed in self-isolation on Wednesday and underwent testing, but once the results came back negative on Thursday morning, he rejoined the rest of the squad.",Not a positive: isolated and tested after a social-distancing breach (photo with a member of the public); negative result Thursday morning. Not a contact of a known case.,True,
29654530,https://www.espncricinfo.com/story/_/id/29654530/mohammad-hafeez-back-pakistan-squad-negative-covid-19-test,2020-08-13,Mohammad Hafeez,Pakistan,false_positive,2020-08-13,relative_to_published,"Hafeez was placed in self-isolation on Wednesday and underwent testing, but once the results came back negative on Thursday morning, he rejoined the rest of the squad.",Not a positive: isolated and tested after a social-distancing breach (photo with a member of the public); negative result Thursday morning. Not a contact of a known case.,True,
1230404,https://www.espncricinfo.com/story/ipl-2020-chris-gayle-set-to-link-up-with-kings-xi-punjab-on-time-after-negative-covid-19-tests-1230404,2020-08-25,Chris Gayle,Kings XI Punjab,false_positive,2020-08-25,published,Chris Gayle is set to link up with his Kings XI Punjab team-mates in the UAE on time after returning two negative Covid-19 tests.,Reported to have attended Usain Bolt's birthday party (Bolt later tested positive); two negative tests; no isolation stated.,True,
29735333,https://www.espncricinfo.com/story/_/id/29735333/ipl-2020-chris-gayle-set-link-kings-xi-punjab-negative-covid-19-tests,2020-08-25,Chris Gayle,Kings XI Punjab,false_positive,2020-08-25,published,Chris Gayle is set to link up with his Kings XI Punjab team-mates in the UAE on time after returning two negative Covid-19 tests.,Reported to have attended Usain Bolt's birthday party (Bolt later tested positive); two negative tests; no isolation stated.,True,
1239739,https://www.espncricinfo.com/story/new-zealand-vs-pakistan-fakhar-zaman-ruled-out-of-nz-tour-after-developing-covid-symptoms-1239739,2020-11-22T16:41:29+00:00,Fakhar Zaman,Pakistan,false_positive,2020-11-21,relative_to_published,"The PCB announced in a press release that Zaman had tested negative as recently as Saturday, but after developing a fever while isolating with the rest of the team at a hotel in Lahore, he was left out as a precautionary measure.",Tested negative Saturday; withdrawn from NZ tour after developing fever (Covid-like symptoms),True,
30365300,https://www.espncricinfo.com/story/_/id/30365300/new-zealand-vs-pakistan-fakhar-zaman-ruled-nz-tour-developing-covid-symptoms,2020-11-22T16:41:29+00:00,Fakhar Zaman,Pakistan,false_positive,2020-11-21,relative_to_published,"The PCB announced in a press release that Zaman had tested negative as recently as Saturday, but after developing a fever while isolating with the rest of the team at a hotel in Lahore, he was left out as a precautionary measure.",Tested negative Saturday; withdrawn from NZ tour after developing fever (Covid-like symptoms),True,
30442973,https://www.espncricinfo.com/story/_/id/30442973/pakistan-tour-new-zealand-how-did-eight-members-pakistan-squad-test-positive-covid-19,2020-12-02T15:14:25+00:00,Fakhar Zaman,Pakistan,false_positive,2020-12-02,published,"There were supposed to be 55 travellers, but Fakhar Zaman had symptoms similar to Covid-19, and was thus left behind ; he would return a negative test the following day.","Symptomatic, tested negative; left out of NZ tour",True,
30442973,https://www.espncricinfo.com/story/_/id/30442973/pakistan-tour-new-zealand-how-did-eight-members-pakistan-squad-test-positive-covid-19,2020-12-02T15:14:25+00:00,Sarfaraz Ahmed,Sindh,false_positive,2020-12-02,published,"Between the second and third round of games in the QeA Trophy, nine Sindh players, including captain Sarfraz Ahmed, experienced flu-like symptoms.",Flu-like symptoms in QeA Trophy; tests negative (next sentence). Spelled 'Sarfraz' in text,True,
